EM_ID,Recency,Frequency,Monetary,F,R,M,RFM Score,Segment
31440826220,565,1,69,1,2,2,212,hibernating
31441305808,257,4,1366,3,3,5,335,need attention
31442063824,223,2,1228,2,3,5,325,about to sleep
31442102332,552,1,69,1,2,2,212,hibernating
31442134624,77,3,187,2,5,3,523,potential loyalists
31442254360,559,1,69,1,2,2,212,hibernating
31442484010,565,1,69,1,2,2,212,hibernating
31443038554,510,1,279,1,2,3,213,hibernating
31443160408,557,1,69,1,2,2,212,hibernating
31443199180,565,1,69,1,2,2,212,hibernating
31443226292,112,3,667,2,4,4,424,potential loyalists
31443386446,148,3,587,2,4,4,424,potential loyalists
31443433654,414,1,98,1,2,2,212,hibernating
31443494644,461,1,69,1,2,2,212,hibernating
31443494702,495,1,69,1,2,2,212,hibernating
31443549798,565,1,130,1,2,3,213,hibernating
31443989172,204,1,59,1,3,2,312,about to sleep
31444009174,554,1,69,1,2,2,212,hibernating
31444239520,277,2,608,2,3,4,324,about to sleep
31444350790,564,1,69,1,2,2,212,hibernating
31444460830,470,1,229,1,2,3,213,hibernating
31444578092,564,1,69,1,2,2,212,hibernating
31444603428,260,6,2124,3,3,5,335,need attention
31444838456,148,1,59,1,4,2,412,promising
31444840268,564,1,69,1,2,2,212,hibernating
31444880678,103,4,606,3,4,4,434,potential loyalists
31445329510,417,2,418,2,2,4,224,hibernating
31445394910,180,3,487,2,4,4,424,potential loyalists
31445629100,145,2,438,2,4,4,424,potential loyalists
31445870140,189,4,246,3,3,3,333,need attention
31447171584,55,3,687,2,5,4,524,potential loyalists
31447433458,515,1,69,1,2,2,212,hibernating
31447703160,547,1,69,1,2,2,212,hibernating
31447735060,564,1,69,1,2,2,212,hibernating
31447904808,92,2,468,2,4,4,424,potential loyalists
31448001088,272,2,418,2,3,4,324,about to sleep
31448001474,131,1,309,1,4,4,414,promising
31448201446,116,2,439,2,4,4,424,potential loyalists
31448208376,162,1,259,1,4,3,413,promising
31448518384,553,1,69,1,2,2,212,hibernating
31448933240,250,2,554,2,3,4,324,about to sleep
31449259494,385,1,59,1,2,2,212,hibernating
31449573516,547,1,49,1,2,1,211,hibernating
31449745028,404,2,348,2,2,4,224,hibernating
31450246382,435,1,279,1,2,3,213,hibernating
31450408342,503,1,69,1,2,2,212,hibernating
31450432460,547,1,69,1,2,2,212,hibernating
31450471870,515,2,459,2,2,4,224,hibernating
31450612466,28,1,309,1,5,4,514,new customers
31450760010,558,1,69,1,2,2,212,hibernating
31450873502,232,1,59,1,3,2,312,about to sleep
31450889476,470,2,118,2,2,3,223,hibernating
31451207186,529,1,69,1,2,2,212,hibernating
31451326438,547,1,69,1,2,2,212,hibernating
31451464848,559,1,69,1,2,2,212,hibernating
31451731424,63,1,99,1,5,2,512,new customers
31451771716,62,1,99,1,5,2,512,new customers
31451822866,539,1,69,1,2,2,212,hibernating
31451927112,341,2,388,2,3,4,324,about to sleep
31451978204,540,1,229,1,2,3,213,hibernating
31452112082,560,1,69,1,2,2,212,hibernating
31452158348,428,2,298,2,2,3,223,hibernating
31452178240,560,1,69,1,2,2,212,hibernating
31452226030,358,3,187,2,3,3,323,about to sleep
31452244340,522,1,69,1,2,2,212,hibernating
31452618350,228,2,128,2,3,3,323,about to sleep
31452678056,218,1,239,1,3,3,313,about to sleep
31452731934,312,2,308,2,3,4,324,about to sleep
